"","ai","aj","goodness"
"759",0.5,0.45,0.72365
"760",0.525,0.45,0.7598325
"761",0.55,0.45,0.796015
"762",0.575,0.45,0.8321975
"763",0.6,0.45,0.86838
"764",0.625,0.45,0.9045625
"765",0.65,0.45,0.940745
"766",0.675,0.45,0.9769275
"767",0.7,0.45,1.01311
"768",0.725,0.45,1.0492925
"769",0.75,0.45,1.085475
"770",0.775,0.45,1.1216575
"771",0.8,0.45,1.15784
"772",0.825,0.45,1.1940225
"773",0.85,0.45,1.230205
"774",0.875,0.45,1.2663875
"775",0.9,0.45,1.30257
"776",0.925,0.45,1.3387525
"777",0.95,0.45,1.374935
"778",0.975,0.45,1.4111175
"779",1,0.45,1.4473
"780",0,0.475,0
"781",0.025,0.475,0.03680375
"782",0.05,0.475,0.0736075
"783",0.075,0.475,0.11041125
"784",0.1,0.475,0.147215
"785",0.125,0.475,0.18401875
"786",0.15,0.475,0.2208225
"787",0.175,0.475,0.25762625
"788",0.2,0.475,0.29443
"789",0.225,0.475,0.33123375
"790",0.25,0.475,0.3680375
"791",0.275,0.475,0.40484125
"792",0.3,0.475,0.441645
"793",0.325,0.475,0.47844875
"794",0.35,0.475,0.5152525
"795",0.375,0.475,0.55205625
"796",0.4,0.475,0.58886
"797",0.425,0.475,0.62566375
"798",0.45,0.475,0.6624675
"799",0.475,0.475,0.69927125
"800",0.5,0.475,0.736075
"801",0.525,0.475,0.77287875
"802",0.55,0.475,0.8096825
"803",0.575,0.475,0.84648625
"804",0.6,0.475,0.88329
"805",0.625,0.475,0.92009375
"806",0.65,0.475,0.9568975
"807",0.675,0.475,0.99370125
"808",0.7,0.475,1.030505
"809",0.725,0.475,1.06730875
"810",0.75,0.475,1.1041125
"811",0.775,0.475,1.14091625
"812",0.8,0.475,1.17772
"813",0.825,0.475,1.21452375
"814",0.85,0.475,1.2513275
"815",0.875,0.475,1.28813125
"816",0.9,0.475,1.324935
"817",0.925,0.475,1.36173875
"818",0.95,0.475,1.3985425
"819",0.975,0.475,1.43534625
"820",1,0.475,1.47215
"821",0,0.5,0
"822",0.025,0.5,0.037425
"823",0.05,0.5,0.07485
"824",0.075,0.5,0.112275
"825",0.1,0.5,0.1497
"826",0.125,0.5,0.187125
"827",0.15,0.5,0.22455
"828",0.175,0.5,0.261975
"829",0.2,0.5,0.2994
"830",0.225,0.5,0.336825
"831",0.25,0.5,0.37425
"832",0.275,0.5,0.411675
"833",0.3,0.5,0.4491
"834",0.325,0.5,0.486525
"835",0.35,0.5,0.52395
"836",0.375,0.5,0.561375
"837",0.4,0.5,0.5988
"838",0.425,0.5,0.636225
"839",0.45,0.5,0.67365
"840",0.475,0.5,0.711075
"841",0.5,0.5,0.7485
"842",0.525,0.5,0.785925
"843",0.55,0.5,0.82335
"844",0.575,0.5,0.860775
"845",0.6,0.5,0.8982
"846",0.625,0.5,0.935625
"847",0.65,0.5,0.97305
"848",0.675,0.5,1.010475
"849",0.7,0.5,1.0479
"850",0.725,0.5,1.085325
"851",0.75,0.5,1.12275
"852",0.775,0.5,1.160175
"853",0.8,0.5,1.1976
"854",0.825,0.5,1.235025
"855",0.85,0.5,1.27245
"856",0.875,0.5,1.309875
